SOFA2Y0001,Living Room,,,,,,,Living Room Furniture,Sofas 2 Seater,Barcelona York,,93,142,90,H93 W175 D98,Vinyl,Black,Barcelona Sofa,"Faux leather two seater sofa | Solid wood frame FSC Certified | 80% PVC 20% Cotton | Fire resistant foam (CMHR) | Stain resistant vinyl covering | Stitched seams | Foam filled fixed seat cushion and removable rebound fibre filled back cushion | We recommend to clean with a damp sponge and vacuum with a soft brush | Complies to EN 12520:2015 for strength, durability and safety of seating",cara_2seater1,cara_2seater2,,Special,Bentincks ,Essential, £100.00 ,75, £175.00 ,10-15 days,Assembled,DFF0300BLSDID,£189.20,1 Year Warranty
SOFA2Y0002,Living Room,,,,,,,Living Room Furniture,Sofas 2 Seater,Barcelona York,,93,142,90,H93 W175 D98,Vinyl,Brown,Barcelona Sofa,"Faux leather two seater sofa | Solid wood frame FSC Certified | 80% PVC 20% Cotton | Fire resistant foam (CMHR) | Stain resistant vinyl covering | Stitched seams | Foam filled fixed seat cushion and removable rebound fibre filled back cushion | We recommend to clean with a damp sponge and vacuum with a soft brush | Complies to EN 12520:2015 for strength, durability and safety of seating",cara_2seater1br,cara_2seater2br,,Special,Bentincks ,Essential, £100.00 ,75, £175.00 ,10-15 days,Assembled,DFF0300BRSDID,£189.20,1 Year Warranty
SOFA3M0001,Living Room,,,,,,,Living Room Furniture,Sofas 3 Seater,Hoxton Manhattan,,85,182,90,H85 W182 D90,Fabric,Beige,Hoxton Sofa,"Three seater upholstered sofa | Fixed cover with removable foam filled seat cushions and removable rebound fibre filled back cushions | Fire resistant foam (CMHR) | 100% Polyester | Solid beech wood or hardwood frame consisting of base rails springs and other load bearing rails | Vacuum with a soft brush | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 for strength, durability and safety of seating",Alan,,,Special,Bentincks ,Essential, £162.00 ,75, £283.50 ,10-15 days,Assembled,DFF0139BGSDID,£224.58,1 Year Warranty
SOFA3M0002,Living Room,,,,,,,Living Room Furniture,Sofas 3 Seater,Hoxton Manhattan,,85,182,90,H85 W182 D90,Vinyl,Black,Hoxton Sofa,"The Hoxton is a versatile sofa that would suit most interiors and decor | A compact sofa with low wide feet | Faux Leather fabric | Solid wood frame consisting of base rails, springs and other load bearing rails | Fire resistant foam (CMHR) | Stain resistant vinyl covering | 80% PVC 20% Cotton | Stitched seams | Rub test 80,000 | We recommend to clean this article with a sponge dampened with water and vacuum with a soft brush | Removable foam filled seat cushions and removable rebound fibre filled back cushions | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 Strength, durability and safety of seating | Made in the UK",Manhattan-Leather-3-Seater-Black,,,Stock,Bentincks ,Essential, £162.00 ,75, £283.50 ,,Assembled,DFF0138BLSDID,£224.58,1 Year Warranty
SOFA3M0003,Living Room,,,,,,,Living Room Furniture,Sofas 3 Seater,Hoxton Manhattan,,85,182,90,H85 W182 D90,Fabric,Brown,Hoxton Sofa,"Three seater upholstered sofa | Fixed cover with removable foam filled seat cushions and removable rebound fibre filled back cushions | Fire resistant foam (CMHR) | 100% Polyester | Solid beech wood or hardwood frame consisting of base rails springs and other load bearing rails | Vacuum with a soft brush | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 for strength, durability and safety of seating",Alan,,,Special,Bentincks ,Essential, £162.00 ,75, £283.50 ,10-15 days,Assembled,DFF0139BRSDID,£224.58,1 Year Warranty
SOFA3M0004,Living Room,,,,,,,Living Room Furniture,Sofas 3 Seater,Hoxton Manhattan,,85,182,90,H85 W182 D90,Vinyl,Brown,Hoxton Sofa,"The Hoxton is a versatile sofa that would suit most interiors and decor | A compact sofa with low wide feet | Faux Leather fabric | Solid wood frame consisting of base rails, springs and other load bearing rails | Fire resistant foam (CMHR) | Stain resistant vinyl covering | 80% PVC 20% Cotton | Stitched seams | Rub test 80,000 | We recommend to clean this article with a sponge dampened with water and vacuum with a soft brush | Removable foam filled seat cushions and removable rebound fibre filled back cushions | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 Strength, durability and safety of seating | Made in the UK",Manhattan-Leather-3-Seater-Brown,,,Stock,Bentincks ,Essential, £162.00 ,75, £283.50 ,,Assembled,DFF0138BRSDID,£224.58,1 Year Warranty
SOFA3M0005,Living Room,,,,,,,Living Room Furniture,Sofas 3 Seater,Hoxton Manhattan,,85,182,90,H85 W182 D90,Vinyl,Cream,Hoxton Sofa,"The Hoxton is a versatile sofa that would suit most interiors and decor | A compact sofa with low wide feet | Faux Leather fabric | Solid wood frame consisting of base rails, springs and other load bearing rails | Fire resistant foam (CMHR) | Stain resistant vinyl covering | 80% PVC 20% Cotton | Stitched seams | Rub test 80,000 | We recommend to clean this article with a sponge dampened with water and vacuum with a soft brush | Removable foam filled seat cushions and removable rebound fibre filled back cushions | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 Strength, durability and safety of seating | Made in the UK",no stock - fabric swatch - Alan,,,Special,Bentincks ,Essential, £162.00 ,75, £283.50 ,10-15 days,Assembled,DFF0138CRSDID,£224.58,1 Year Warranty
SOFA3M0006,Living Room,,,,,,,Living Room Furniture,Sofas 3 Seater,Hoxton Manhattan,,85,182,90,H85 W182 D90,Fabric,Aubergine,Hoxton Sofa,"Three seater upholstered sofa | Fixed cover with removable foam filled seat cushions and removable rebound fibre filled back cushions | Fire resistant foam (CMHR) | 100% Polyester | Solid beech wood or hardwood frame consisting of base rails springs and other load bearing rails | Vacuum with a soft brush | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 for strength, durability and safety of seating",no stock - fabric swatch - Alan,,,Special,Bentincks ,Essential, £162.00 ,75, £283.50 ,10-15 days,Assembled,SOFA3M0006,£224.58,1 Year Warranty
SOFA3M0008,Living Room,,,,,,,Living Room Furniture,Sofas 3 Seater,Hoxton Manhattan,,85,182,90,H85 W182 D90,Fabric,Teal,Hoxton Sofa,"Three seater upholstered sofa | Fixed cover with removable foam filled seat cushions and removable rebound fibre filled back cushions | Fire resistant foam (CMHR) | 100% Polyester | Solid beech wood or hardwood frame consisting of base rails springs and other load bearing rails | Vacuum with a soft brush | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 for strength, durability and safety of seating",no stock - fabric swatch - Alan,,,Special,Bentincks ,Essential, £162.00 ,75, £283.50 ,10-15 days,Assembled,SOFA3M0008,£224.58,1 Year Warranty
SOFA3M0009,Living Room,,,,,,,Living Room Furniture,Sofas 3 Seater,Hoxton Manhattan,,85,182,90,H85 W182 D90,Fabric,Grey,Hoxton Sofa,"Three seater upholstered sofa | Fixed cover with removable foam filled seat cushions and removable rebound fibre filled back cushions | Fire resistant foam (CMHR) | 100% Polyester | Solid beech wood or hardwood frame consisting of base rails springs and other load bearing rails | Vacuum with a soft brush | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 for strength, durability and safety of seating",Alan,,,Special,Bentincks ,Essential, £162.00 ,75, £283.50 ,10-15 days,Assembled,DFF0139GRSDID,£224.58,1 Year Warranty
